group_name,group_multiplier,group_disabled,model_id,price_kind,charge_type,unit,label,raw_line,base_amount_1,base_amount_2,effective_amount_1,effective_amount_2
default,1.5,False,claude-haiku-4-5,输入,paid,M,,输入 ¥60.0000/M,60,,90,
default,1.5,False,claude-haiku-4-5,输出,paid,M,,输出 ¥300.0000/M,300,,450,
default,1.5,False,claude-haiku-4-5-20251001,输入,paid,M,,输入 ¥0.4900/M,0.49,,0.735,
default,1.5,False,claude-haiku-4-5-20251001,输出,paid,M,,输出 ¥2.4500/M,2.45,,3.675,
default,1.5,False,claude-opus-4-1-20250805,输入,paid,M,,输入 ¥25.5000/M,25.5,,38.25,
default,1.5,False,claude-opus-4-1-20250805,输出,paid,M,,输出 ¥127.5000/M,127.5,,191.25,
default,1.5,False,claude-opus-4-20250514,输入,paid,M,,输入 ¥10.5000/M,10.5,,15.75,
default,1.5,False,claude-opus-4-20250514,输出,paid,M,,输出 ¥52.5000/M,52.5,,78.75,
default,1.5,False,claude-opus-4-5-20251101,输入,paid,M,,输入 ¥2.4500/M,2.45,,3.675,
default,1.5,False,claude-opus-4-5-20251101,输出,paid,M,,输出 ¥12.2500/M,12.25,,18.375,
default,1.5,False,claude-opus-4-6,输入,paid,M,,输入 ¥2.4500/M,2.45,,3.675,
default,1.5,False,claude-opus-4-6,输出,paid,M,,输出 ¥12.2500/M,12.25,,18.375,
default,1.5,False,claude-opus-4-7,输入,paid,M,,输入 ¥9.8000/M,9.8,,14.7,
default,1.5,False,claude-opus-4-7,输出,paid,M,,输出 ¥49.0000/M,49,,73.5,
default,1.5,False,claude-sonnet-4-20250514,输入,paid,M,,输入 ¥25.5000/M,25.5,,38.25,
default,1.5,False,claude-sonnet-4-20250514,输出,paid,M,,输出 ¥127.5000/M,127.5,,191.25,
default,1.5,False,claude-sonnet-4-5-20250929,输入,paid,M,,输入 ¥1.7500/M,1.75,,2.625,
default,1.5,False,claude-sonnet-4-5-20250929,输出,paid,M,,输出 ¥8.7500/M,8.75,,13.125,
default,1.5,False,claude-sonnet-4-6,输入,paid,M,,输入 ¥1.4700/M,1.47,,2.205,
default,1.5,False,claude-sonnet-4-6,输出,paid,M,,输出 ¥7.3500/M,7.35,,11.025,
