model_id,display_name,context,low_input,low_output,balanced_input,balanced_output,high_input,high_output,official_input,official_output,raw_price_lines
Baichuan-M2,Baichuan M2,32K,,,,,,,,,￥2.000~20.000/百万tokens 文本 || ￥0.030/次 搜索
Baichuan-M2-Plus,Baichuan M2 Plus,32K,,,,,,,,,￥10.000~30.000/百万tokens 文本 || ￥0.030/次 搜索
Baichuan3-Turbo,Baichuan3-Turbo,32K,,,,,,,,,￥12.000/百万tokens
Baichuan3-Turbo-128k,Baichuan3-Turbo-128k,128K,,,,,,,,,￥24.000/百万tokens
Baichuan4,Baichuan4,32K,,,,,,,,,￥100.000/百万tokens 文本 || ￥0.030/次 搜索
Baichuan4-Air,Baichuan4-Air,32K,,,,,,,,,￥0.980/百万tokens 文本 || ￥0.030/次 搜索
Baichuan4-Turbo,Baichuan4-Turbo,32K,,,,,,,,,￥15.000/百万tokens 文本 || ￥0.030/次 搜索
MiniMax-Hailuo-02,MiniMax Hailuo 02,2K,,,,,,,,,￥1.600/个 高可用8折 || ￥2.000/个 官方价
MiniMax-Hailuo-2.3,MiniMax Hailuo 2.3,2K,,,,,,,,,￥1.600/个 高可用8折 || ￥2.000/个 官方价
MiniMax-Hailuo-2.3-Fast,MiniMax Hailuo 2.3 Fast,2K,,,,,,,,,￥1.080/个 高可用8折 || ￥1.350/个 官方价
abab6.5s-chat,MiniMax abab 6.5s,240K,,,,,,,,,￥1.000/百万tokens
amazon/nova-lite-v1,Nova Lite 1.0,300K,,,,,,,,,￥0.450~1.800/百万tokens
amazon/nova-micro-v1,Nova Micro 1.0,128K,,,,,,,,,￥0.263~1.050/百万tokens
amazon/nova-pro-v1,Nova Pro 1.0,300K,,,,,,,,,￥6.000~24.000/百万tokens
bytedance-asset-v1,Doubao-Asset-v1,1K,,,,,,,,,免费
chatglm3-130b-fin,GLM3-130B金融模型,8K,,,,,,,,,￥1.000/百万tokens
chatgpt-4o-latest,ChatGPT 4o,128K,5.625,16.875,11.25,33.75,18.75,56.25,37.5,112.5,￥5.625~16.875/百万tokens 低价1.5折 || ￥11.250~33.750/百万tokens 均衡3折 || ￥18.750~56.250/百万tokens 高可用5折 || ￥37.500~112.500/百万tokens 官方价
