model_id,display_name,context,charge_type,unit,label,raw_line,amount_1,amount_2
Baichuan-M2,Baichuan M2,32K,paid,百万tokens,文本,￥2.000~20.000/百万tokens 文本,2,20
Baichuan-M2,Baichuan M2,32K,paid,次,搜索,￥0.030/次 搜索,0.03,
Baichuan-M2-Plus,Baichuan M2 Plus,32K,paid,百万tokens,文本,￥10.000~30.000/百万tokens 文本,10,30
Baichuan-M2-Plus,Baichuan M2 Plus,32K,paid,次,搜索,￥0.030/次 搜索,0.03,
Baichuan3-Turbo,Baichuan3-Turbo,32K,paid,百万tokens,,￥12.000/百万tokens,12,
Baichuan3-Turbo-128k,Baichuan3-Turbo-128k,128K,paid,百万tokens,,￥24.000/百万tokens,24,
Baichuan4,Baichuan4,32K,paid,百万tokens,文本,￥100.000/百万tokens 文本,100,
Baichuan4,Baichuan4,32K,paid,次,搜索,￥0.030/次 搜索,0.03,
Baichuan4-Air,Baichuan4-Air,32K,paid,百万tokens,文本,￥0.980/百万tokens 文本,0.98,
Baichuan4-Air,Baichuan4-Air,32K,paid,次,搜索,￥0.030/次 搜索,0.03,
Baichuan4-Turbo,Baichuan4-Turbo,32K,paid,百万tokens,文本,￥15.000/百万tokens 文本,15,
Baichuan4-Turbo,Baichuan4-Turbo,32K,paid,次,搜索,￥0.030/次 搜索,0.03,
MiniMax-Hailuo-02,MiniMax Hailuo 02,2K,paid,个,高可用8折,￥1.600/个 高可用8折,1.6,
MiniMax-Hailuo-02,MiniMax Hailuo 02,2K,paid,个,官方价,￥2.000/个 官方价,2,
MiniMax-Hailuo-2.3,MiniMax Hailuo 2.3,2K,paid,个,高可用8折,￥1.600/个 高可用8折,1.6,
MiniMax-Hailuo-2.3,MiniMax Hailuo 2.3,2K,paid,个,官方价,￥2.000/个 官方价,2,
MiniMax-Hailuo-2.3-Fast,MiniMax Hailuo 2.3 Fast,2K,paid,个,高可用8折,￥1.080/个 高可用8折,1.08,
MiniMax-Hailuo-2.3-Fast,MiniMax Hailuo 2.3 Fast,2K,paid,个,官方价,￥1.350/个 官方价,1.35,
abab6.5s-chat,MiniMax abab 6.5s,240K,paid,百万tokens,,￥1.000/百万tokens,1,
amazon/nova-lite-v1,Nova Lite 1.0,300K,paid,百万tokens,,￥0.450~1.800/百万tokens,0.45,1.8
amazon/nova-micro-v1,Nova Micro 1.0,128K,paid,百万tokens,,￥0.263~1.050/百万tokens,0.263,1.05
amazon/nova-pro-v1,Nova Pro 1.0,300K,paid,百万tokens,,￥6.000~24.000/百万tokens,6,24
bytedance-asset-v1,Doubao-Asset-v1,1K,free,,,免费,0,
chatglm3-130b-fin,GLM3-130B金融模型,8K,paid,百万tokens,,￥1.000/百万tokens,1,
chatgpt-4o-latest,ChatGPT 4o,128K,paid,百万tokens,低价1.5折,￥5.625~16.875/百万tokens 低价1.5折,5.625,16.875
chatgpt-4o-latest,ChatGPT 4o,128K,paid,百万tokens,均衡3折,￥11.250~33.750/百万tokens 均衡3折,11.25,33.75
chatgpt-4o-latest,ChatGPT 4o,128K,paid,百万tokens,高可用5折,￥18.750~56.250/百万tokens 高可用5折,18.75,56.25
chatgpt-4o-latest,ChatGPT 4o,128K,paid,百万tokens,官方价,￥37.500~112.500/百万tokens 官方价,37.5,112.5
claude-3-5-haiku-latest,Claude Haiku 3.5,200K,paid,百万tokens,低价1折,￥0.600~3.000/百万tokens 低价1折,0.6,3
claude-3-5-haiku-latest,Claude Haiku 3.5,200K,paid,百万tokens,均衡3折,￥1.800~9.000/百万tokens 均衡3折,1.8,9
claude-3-5-haiku-latest,Claude Haiku 3.5,200K,paid,百万tokens,高可用5折,￥3.000~15.000/百万tokens 高可用5折,3,15
claude-3-5-haiku-latest,Claude Haiku 3.5,200K,paid,百万tokens,官方价文本,￥6.000~30.000/百万tokens 官方价文本,6,30
claude-3-5-haiku-latest,Claude Haiku 3.5,200K,paid,百万tokens,官方价缓存命中,￥0.600/百万tokens 官方价缓存命中,0.6,
claude-3-5-haiku-latest,Claude Haiku 3.5,200K,paid,百万tokens,官方价缓存写入,￥12.000/百万tokens 官方价缓存写入,12,
claude-3-5-sonnet-latest,Claude Sonnet 3.5,200K,paid,百万tokens,低价1折,￥2.250~11.250/百万tokens 低价1折,2.25,11.25
claude-3-5-sonnet-latest,Claude Sonnet 3.5,200K,paid,百万tokens,均衡3折,￥6.750~33.750/百万tokens 均衡3折,6.75,33.75
claude-3-5-sonnet-latest,Claude Sonnet 3.5,200K,paid,百万tokens,高可用5折,￥11.250~56.250/百万tokens 高可用5折,11.25,56.25
claude-3-5-sonnet-latest,Claude Sonnet 3.5,200K,paid,百万tokens,官方价文本,￥22.500~112.500/百万tokens 官方价文本,22.5,112.5
claude-3-5-sonnet-latest,Claude Sonnet 3.5,200K,paid,百万tokens,官方价缓存命中,￥2.250/百万tokens 官方价缓存命中,2.25,
claude-3-5-sonnet-latest,Claude Sonnet 3.5,200K,paid,百万tokens,官方价缓存写入,￥45.000/百万tokens 官方价缓存写入,45,
claude-3-7-sonnet-latest,Claude Sonnet 3.7,200K,paid,百万tokens,低价1折,￥2.250~11.250/百万tokens 低价1折,2.25,11.25
claude-3-7-sonnet-latest,Claude Sonnet 3.7,200K,paid,百万tokens,均衡3折,￥6.750~33.750/百万tokens 均衡3折,6.75,33.75
claude-3-7-sonnet-latest,Claude Sonnet 3.7,200K,paid,百万tokens,高可用5折,￥11.250~56.250/百万tokens 高可用5折,11.25,56.25
claude-3-7-sonnet-latest,Claude Sonnet 3.7,200K,paid,百万tokens,官方价文本,￥22.500~112.500/百万tokens 官方价文本,22.5,112.5
claude-3-7-sonnet-latest,Claude Sonnet 3.7,200K,paid,百万tokens,官方价缓存命中,￥2.250/百万tokens 官方价缓存命中,2.25,
claude-3-7-sonnet-latest,Claude Sonnet 3.7,200K,paid,百万tokens,官方价缓存写入,￥45.000/百万tokens 官方价缓存写入,45,
claude-3-7-sonnet:thinking,Claude Sonnet 3.7 推理版,200K,paid,百万tokens,低价1折,￥2.250~11.250/百万tokens 低价1折,2.25,11.25
claude-3-7-sonnet:thinking,Claude Sonnet 3.7 推理版,200K,paid,百万tokens,均衡3折,￥6.750~33.750/百万tokens 均衡3折,6.75,33.75
claude-3-7-sonnet:thinking,Claude Sonnet 3.7 推理版,200K,paid,百万tokens,高可用5折,￥11.250~56.250/百万tokens 高可用5折,11.25,56.25
claude-3-7-sonnet:thinking,Claude Sonnet 3.7 推理版,200K,paid,百万tokens,官方价文本,￥22.500~112.500/百万tokens 官方价文本,22.5,112.5
