model_id,model_78_name,billing_type_78,input_78_global,output_78_global,best_78_group,best_78_multiplier,best_78_effective_input,best_78_effective_output,best_78_effective_total,geekai_match,geekai_display_name,geekai_context,geekai_best_tier,geekai_best_input,geekai_best_output,geekai_best_total,recommended_vendor,cheaper_by_total,ratio_78_vs_geekai,comparison_note
chatgpt-4o-latest,chatgpt-4o-latest,按量计费,18.75,56.25,vip-1-codex,0.25,4.6875,14.0625,18.75,yes,ChatGPT 4o,128K,low,5.625,16.875,22.5,78,3.75,0.833333,78 lower on both input and output
claude-haiku-4-5,claude-haiku-4-5,按量计费,60,300,逆向droid,0.8,48,240,288,yes,Claude Haiku 4.5,200K,low,0.75,3.75,4.5,GeekAI,283.5,64,GeekAI lower on both input and output
claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,按量计费,0.49,2.45,kiro,0.35,0.1715,0.8575,1.029,no,,,,,,,no_exact_match,,,
claude-opus-4-1-20250805,claude-opus-4-1-20250805,按量计费,25.5,127.5,default,1.5,38.25,191.25,229.5,no,,,,,,,no_exact_match,,,
claude-opus-4-20250514,claude-opus-4-20250514,按量计费,10.5,52.5,default,1.5,15.75,78.75,94.5,no,,,,,,,no_exact_match,,,
claude-opus-4-5-20251101,claude-opus-4-5-20251101,按量计费,2.45,12.25,kiro,0.35,0.8575,4.2875,5.145,no,,,,,,,no_exact_match,,,
claude-opus-4-6,claude-opus-4-6,按量计费,2.45,12.25,kiro,0.35,0.8575,4.2875,5.145,yes,Claude Opus 4.6,1000K,low,3.75,18.75,22.5,78,17.355,0.228667,78 lower on both input and output
claude-opus-4-6-fast,claude-opus-4-6-fast,按量计费,60,300,逆向droid,0.8,48,240,288,no,,,,,,,no_exact_match,,,
claude-opus-4-7,claude-opus-4-7,按量计费,9.8,49,newcc-优惠版,1.4,13.72,68.6,82.32,yes,Claude Opus 4.7,1000K,low,3.75,18.75,22.5,GeekAI,59.82,3.658667,GeekAI lower on both input and output
claude-sonnet-4-20250514,claude-sonnet-4-20250514,按量计费,25.5,127.5,default,1.5,38.25,191.25,229.5,no,,,,,,,no_exact_match,,,
claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,按量计费,1.75,8.75,kiro,0.35,0.6125,3.0625,3.675,no,,,,,,,no_exact_match,,,
claude-sonnet-4-6,claude-sonnet-4-6,按量计费,1.47,7.35,kiro,0.35,0.5145,2.5725,3.087,yes,Claude Sonnet 4.6,200K,low,2.25,11.25,13.5,78,10.413,0.228667,78 lower on both input and output
gemini-2.0-flash,gemini-2.0-flash,按量计费,0.165,0.66,gemini-image,1.65,0.27225,1.089,1.36125,yes,Gemini 2.0 Flash,1024K,low,0.075,0.3,0.375,GeekAI,0.98625,3.63,GeekAI lower on both input and output
gemini-2.0-flash-001,gemini-2.0-flash-001,按量计费,123.75,495,gemini-image,1.65,204.1875,816.75,1020.9375,no,,,,,,,no_exact_match,,,
gemini-2.0-flash-exp,gemini-2.0-flash-exp,按量计费,123.75,495,gemini-image,1.65,204.1875,816.75,1020.9375,no,,,,,,,no_exact_match,,,
gemini-2.0-flash-lite,gemini-2.0-flash-lite,按量计费,123.75,495,gemini-image,1.65,204.1875,816.75,1020.9375,yes,Gemini 2.0 Flash-Lite,1024K,low,0.056,0.225,0.281,GeekAI,1020.6565,3633.229537,GeekAI lower on both input and output
gemini-2.0-flash-lite-preview-02-05,gemini-2.0-flash-lite-preview-02-05,按量计费,123.75,495,gemini-image,1.65,204.1875,816.75,1020.9375,no,,,,,,,no_exact_match,,,
gemini-2.0-flash-thinking-exp,gemini-2.0-flash-thinking-exp,按量计费,123.75,495,gemini-image,1.65,204.1875,816.75,1020.9375,no,,,,,,,no_exact_match,,,
gemini-2.0-flash-thinking-exp-01-21,gemini-2.0-flash-thinking-exp-01-21,按量计费,123.75,495,gemini-image,1.65,204.1875,816.75,1020.9375,no,,,,,,,no_exact_match,,,
gemini-2.0-flash-thinking-exp-1219,gemini-2.0-flash-thinking-exp-1219,按量计费,123.75,495,gemini-image,1.65,204.1875,816.75,1020.9375,no,,,,,,,no_exact_match,,,
gemini-2.5-flash,gemini-2.5-flash,按量计费,0.495,4.125,gemini-image,1.65,0.81675,6.80625,7.623,yes,Gemini 2.5 Flash,1024K,low,0.225,1.875,2.1,GeekAI,5.523,3.63,GeekAI lower on both input and output
gemini-2.5-flash-image,gemini-2.5-flash-image,按量计费,123.75,1031.25,gemini-image,1.65,204.1875,1701.5625,1905.75,yes,Gemini 2.5 Flash 画图版,32K,low,0.225,1.875,2.1,GeekAI,1903.65,907.5,GeekAI lower on both input and output
gemini-2.5-flash-image-preview,gemini-2.5-flash-image-preview,按量计费,123.75,1031.25,gemini-image,1.65,204.1875,1701.5625,1905.75,yes,Gemini 2.5 Flash 画图版,32K,low,0.225,1.875,2.1,GeekAI,1903.65,907.5,GeekAI lower on both input and output
