model_id,model_78_name,billing_type_78,input_78,output_78,best_78_group,best_78_effective_input,best_78_effective_output,best_78_effective_total,geekai_match
claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,按量计费,0.49,2.45,kiro,0.1715,0.8575,1.029,no
claude-opus-4-1-20250805,claude-opus-4-1-20250805,按量计费,25.5,127.5,default,38.25,191.25,229.5,no
claude-opus-4-20250514,claude-opus-4-20250514,按量计费,10.5,52.5,default,15.75,78.75,94.5,no
claude-opus-4-5-20251101,claude-opus-4-5-20251101,按量计费,2.45,12.25,kiro,0.8575,4.2875,5.145,no
claude-opus-4-6-fast,claude-opus-4-6-fast,按量计费,60,300,逆向droid,48,240,288,no
claude-sonnet-4-20250514,claude-sonnet-4-20250514,按量计费,25.5,127.5,default,38.25,191.25,229.5,no
claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,按量计费,1.75,8.75,kiro,0.6125,3.0625,3.675,no
gemini-2.0-flash-001,gemini-2.0-flash-001,按量计费,123.75,495,gemini-image,204.1875,816.75,1020.9375,no
gemini-2.0-flash-exp,gemini-2.0-flash-exp,按量计费,123.75,495,gemini-image,204.1875,816.75,1020.9375,no
gemini-2.0-flash-lite-preview-02-05,gemini-2.0-flash-lite-preview-02-05,按量计费,123.75,495,gemini-image,204.1875,816.75,1020.9375,no
gemini-2.0-flash-thinking-exp,gemini-2.0-flash-thinking-exp,按量计费,123.75,495,gemini-image,204.1875,816.75,1020.9375,no
gemini-2.0-flash-thinking-exp-01-21,gemini-2.0-flash-thinking-exp-01-21,按量计费,123.75,495,gemini-image,204.1875,816.75,1020.9375,no
gemini-2.0-flash-thinking-exp-1219,gemini-2.0-flash-thinking-exp-1219,按量计费,123.75,495,gemini-image,204.1875,816.75,1020.9375,no
gemini-2.5-flash-preview-04-17-thinking,gemini-2.5-flash-preview-04-17-thinking,按量计费,123.75,2887.5,gemini-image,204.1875,4764.375,4968.5625,no
gemini-2.5-flash-thinking,gemini-2.5-flash-thinking,按量计费,123.75,1031.25,gemini-image,204.1875,1701.5625,1905.75,no
gemini-2.5-pro-exp-03-25,gemini-2.5-pro-exp-03-25,按量计费,123.75,990,gemini-image,204.1875,1633.5,1837.6875,no
gemini-2.5-pro-preview-06-05-thinking,gemini-2.5-pro-preview-06-05-thinking,按量计费,123.75,990,gemini-image,204.1875,1633.5,1837.6875,no
gemini-2.5-pro-thinking,gemini-2.5-pro-thinking,按量计费,2.063,16.5,gemini-image,3.40395,27.225,30.62895,no
gemini-3-pro-preview-11-2025,gemini-3-pro-preview-11-2025,按量计费,3.3,19.8,gemini-image,5.445,32.67,38.115,no
gemini-3-pro-preview-thinking,gemini-3-pro-preview-thinking,按量计费,3.3,19.8,gemini-image,5.445,32.67,38.115,no
gemini-3.1-pro-preview-thinking,gemini-3.1-pro-preview-thinking,按量计费,3.3,19.8,gemini-image,5.445,32.67,38.115,no
gpt-3.5-turbo-0125,gpt-3.5-turbo-0125,按量计费,18.75,37.5,vip-1-codex,4.6875,9.375,14.0625,no
